PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33267193","3D CNN-Based Speech Emotion Recognition Using K-Means Clustering and Spectrograms","Hajarolasvadi N, Demirel H.","Entropy (Basel). 2019 May 8;21(5):479. doi: 10.3390/e21050479.","Hajarolasvadi N","Entropy (Basel)","2019","2020/12/03","PMC7514968","","10.3390/e21050479"
"33001690","Wine experts' recognition of wine odors is not verbally mediated","Croijmans I, Arshamian A, Speed LJ, Majid A.","J Exp Psychol Gen. 2021 Mar;150(3):545-559. doi: 10.1037/xge0000949. Epub 2020 Oct 1.","Croijmans I","J Exp Psychol Gen","2021","2020/10/01","","","10.1037/xge0000949"
"33370148","Inferential emotion tracking (IET) reveals the critical role of context in emotion recognition","Chen Z, Whitney D.","Emotion. 2020 Dec 28. doi: 10.1037/emo0000934. Online ahead of print.","Chen Z","Emotion","2020","2020/12/28","","","10.1037/emo0000934"
"32845859","EEG-based emotion recognition with deep convolutional neural networks","Ozdemir MA, Degirmenci M, Izci E, Akan A.","Biomed Tech (Berl). 2020 Aug 26:/j/bmte.ahead-of-print/bmt-2019-0306/bmt-2019-0306.xml. doi: 10.1515/bmt-2019-0306. Online ahead of print.","Ozdemir MA","Biomed Tech (Berl)","2020","2020/08/27","","","10.1515/bmt-2019-0306"
"32933178","Enhancing Mouth-Based Emotion Recognition Using Transfer Learning","Franzoni V, Biondi G, Perri D, Gervasi O.","Sensors (Basel). 2020 Sep 13;20(18):5222. doi: 10.3390/s20185222.","Franzoni V","Sensors (Basel)","2020","2020/09/16","PMC7571064","","10.3390/s20185222"
"33375537","Detection of Strawberry Diseases Using a Convolutional Neural Network","Xiao JR, Chung PC, Wu HY, Phan QH, Yeh JA, Hou MT.","Plants (Basel). 2020 Dec 25;10(1):31. doi: 10.3390/plants10010031.","Xiao JR","Plants (Basel)","2020","2020/12/30","PMC7823414","","10.3390/plants10010031"
"32998382","Fusing Visual Attention CNN and Bag of Visual Words for Cross-Corpus Speech Emotion Recognition","Seo M, Kim M.","Sensors (Basel). 2020 Sep 28;20(19):5559. doi: 10.3390/s20195559.","Seo M","Sensors (Basel)","2020","2020/10/01","PMC7583996","","10.3390/s20195559"
"33113907","Impact of Feature Selection Algorithm on Speech Emotion Recognition Using Deep Convolutional Neural Network","Farooq M, Hussain F, Baloch NK, Raja FR, Yu H, Zikria YB.","Sensors (Basel). 2020 Oct 23;20(21):6008. doi: 10.3390/s20216008.","Farooq M","Sensors (Basel)","2020","2020/10/29","PMC7660211","","10.3390/s20216008"
"32853205","Hate speech detection and racial bias mitigation in social media based on BERT model","Mozafari M, Farahbakhsh R, Crespi N.","PLoS One. 2020 Aug 27;15(8):e0237861. doi: 10.1371/journal.pone.0237861. eCollection 2020.","Mozafari M","PLoS One","2020","2020/08/28","PMC7451563","","10.1371/journal.pone.0237861"
"32901038","K-EmoCon, a multimodal sensor dataset for continuous emotion recognition in naturalistic conversations","Park CY, Cha N, Kang S, Kim A, Khandoker AH, Hadjileontiadis L, Oh A, Jeong Y, Lee U.","Sci Data. 2020 Sep 8;7(1):293. doi: 10.1038/s41597-020-00630-y.","Park CY","Sci Data","2020","2020/09/09","PMC7479607","","10.1038/s41597-020-00630-y"
"31095475","Context Based Emotion Recognition Using EMOTIC Dataset","Kosti R, Alvarez JM, Recasens A, Lapedriza A.","IEEE Trans Pattern Anal Mach Intell. 2020 Nov;42(11):2755-2766. doi: 10.1109/TPAMI.2019.2916866. Epub 2019 May 14.","Kosti R","IEEE Trans Pattern Anal Mach Intell","2020","2019/05/17","","","10.1109/TPAMI.2019.2916866"
"33376765","Selection and validation of emotional videos: Dataset of professional and amateur videos that elicit basic emotions","Chen H, Chin KL, Tan CBY.","Data Brief. 2020 Dec 20;34:106662. doi: 10.1016/j.dib.2020.106662. eCollection 2021 Feb.","Chen H","Data Brief","2020","2020/12/30","PMC7758363","","10.1016/j.dib.2020.106662"
"31853252","Articulation constrained learning with application to speech emotion recognition","Shah M, Tu M, Berisha V, Chakrabarti C, Spanias A.","EURASIP J Audio Speech Music Process. 2019;2019(1):14. doi: 10.1186/s13636-019-0157-9. Epub 2019 Aug 20.","Shah M","EURASIP J Audio Speech Music Process","2019","2019/12/20","PMC6919554","NIHMS1062573","10.1186/s13636-019-0157-9"
"32045438","Towards story-based classification of movie scenes","Liu C, Shmilovici A, Last M.","PLoS One. 2020 Feb 11;15(2):e0228579. doi: 10.1371/journal.pone.0228579. eCollection 2020.","Liu C","PLoS One","2020","2020/02/12","PMC7012415","","10.1371/journal.pone.0228579"
"32012179","The Complex Emotion Expression Database: A validated stimulus set of trained actors","Benda MS, Scherf KS.","PLoS One. 2020 Feb 3;15(2):e0228248. doi: 10.1371/journal.pone.0228248. eCollection 2020.","Benda MS","PLoS One","2020","2020/02/04","PMC6996812","","10.1371/journal.pone.0228248"
"32718172","Enhanced recognition of vocal emotions in individuals with naturally good musical abilities","Correia AI, Castro SL, MacGregor C, Müllensiefen D, Schellenberg EG, Lima CF.","Emotion. 2020 Jul 27. doi: 10.1037/emo0000770. Online ahead of print.","Correia AI","Emotion","2020","2020/07/29","","","10.1037/emo0000770"
"32941139","Siamese Local and Global Networks for Robust Face Tracking","Qi Y, Zhang S, Jiang F, Zhou H, Tao D, Li X.","IEEE Trans Image Process. 2020 Sep 17;PP. doi: 10.1109/TIP.2020.3023621. Online ahead of print.","Qi Y","IEEE Trans Image Process","2020","2020/09/17","","","10.1109/TIP.2020.3023621"
"32260445","Investigating the Use of Pretrained Convolutional Neural Network on Cross-Subject and Cross-Dataset EEG Emotion Recognition","Cimtay Y, Ekmekcioglu E.","Sensors (Basel). 2020 Apr 4;20(7):2034. doi: 10.3390/s20072034.","Cimtay Y","Sensors (Basel)","2020","2020/04/09","PMC7181114","","10.3390/s20072034"
"33156720","Social anxiety symptoms, heart rate variability, and vocal emotion recognition in women: evidence for parasympathetically-mediated positivity bias","Madison A, Vasey M, Emery CF, Kiecolt-Glaser JK.","Anxiety Stress Coping. 2021 May;34(3):243-257. doi: 10.1080/10615806.2020.1839733. Epub 2020 Nov 6.","Madison A","Anxiety Stress Coping","2021","2020/11/06","","","10.1080/10615806.2020.1839733"
"29035069","Emotion recognition in Parkinson's disease: Static and dynamic factors","Wasser CI, Evans F, Kempnich C, Glikmann-Johnston Y, Andrews SC, Thyagarajan D, Stout JC.","Neuropsychology. 2018 Feb;32(2):230-234. doi: 10.1037/neu0000400. Epub 2017 Oct 16.","Wasser CI","Neuropsychology","2018","2017/10/17","","","10.1037/neu0000400"
"31261716","Game-Calibrated and User-Tailored Remote Detection of Stress and Boredom in Games","Bevilacqua F, Engström H, Backlund P.","Sensors (Basel). 2019 Jun 28;19(13):2877. doi: 10.3390/s19132877.","Bevilacqua F","Sensors (Basel)","2019","2019/07/03","PMC6650833","","10.3390/s19132877"
"32825666","End-to-End Training for Compound Expression Recognition","Li H, Li Q.","Sensors (Basel). 2020 Aug 21;20(17):4727. doi: 10.3390/s20174727.","Li H","Sensors (Basel)","2020","2020/08/23","PMC7506941","","10.3390/s20174727"
"33209967","RIDB: A Dataset of fundus images for retina based person identification","Akram MU, Abdul Salam A, Khawaja SG, Naqvi SGH, Khan SA.","Data Brief. 2020 Oct 20;33:106433. doi: 10.1016/j.dib.2020.106433. eCollection 2020 Dec.","Akram MU","Data Brief","2020","2020/11/19","PMC7658644","","10.1016/j.dib.2020.106433"
"31897864","Recognizing Image Semantic Information Through Multi-Feature Fusion and SSAE-Based Deep Network","Yang X, Wang Z, Deng H, Li H, Yao R, Gao P, Nasher SNA.","J Med Syst. 2020 Jan 3;44(2):46. doi: 10.1007/s10916-019-1498-8.","Yang X","J Med Syst","2020","2020/01/04","","","10.1007/s10916-019-1498-8"
"31999185","Superordinate categorization of negative facial expressions in infancy: The influence of labels","Ruba AL, Meltzoff AN, Repacholi BM.","Dev Psychol. 2020 Apr;56(4):671-685. doi: 10.1037/dev0000892. Epub 2020 Jan 30.","Ruba AL","Dev Psychol","2020","2020/01/31","PMC7060120","NIHMS1065231","10.1037/dev0000892"
"31415592","A comprehensive study on bilingual and multilingual speech emotion recognition using a two-pass classification scheme","Heracleous P, Yoneyama A.","PLoS One. 2019 Aug 15;14(8):e0220386. doi: 10.1371/journal.pone.0220386. eCollection 2019.","Heracleous P","PLoS One","2019","2019/08/16","PMC6695118","","10.1371/journal.pone.0220386"
"28396068","Evaluating deep learning architectures for Speech Emotion Recognition","Fayek HM, Lech M, Cavedon L.","Neural Netw. 2017 Aug;92:60-68. doi: 10.1016/j.neunet.2017.02.013. Epub 2017 Mar 21.","Fayek HM","Neural Netw","2017","2017/04/12","","","10.1016/j.neunet.2017.02.013"
"31946657","Detecting emotional valence using time-domain analysis of speech signals","Deshpande G, Viraraghavan VS, Duggirala M, Patel S.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:3605-3608. doi: 10.1109/EMBC.2019.8857691.","Deshpande G","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8857691"
"31216650","Speech Emotion Recognition with Heterogeneous Feature Unification of Deep Neural Network","Jiang W, Wang Z, Jin JS, Han X, Li C.","Sensors (Basel). 2019 Jun 18;19(12):2730. doi: 10.3390/s19122730.","Jiang W","Sensors (Basel)","2019","2019/06/21","PMC6630663","","10.3390/s19122730"
"33207310","Detection of Hate Speech in COVID-19-Related Tweets in the Arab Region: Deep Learning and Topic Modeling Approach","Alshalan R, Al-Khalifa H, Alsaeed D, Al-Baity H, Alshalan S.","J Med Internet Res. 2020 Dec 8;22(12):e22609. doi: 10.2196/22609.","Alshalan R","J Med Internet Res","2020","2020/11/18","PMC7725497","","10.2196/22609"
"32380751","Facial Expression Recognition Based on Weighted-Cluster Loss and Deep Transfer Learning Using a Highly Imbalanced Dataset","Ngo QT, Yoon S.","Sensors (Basel). 2020 May 5;20(9):2639. doi: 10.3390/s20092639.","Ngo QT","Sensors (Basel)","2020","2020/05/09","PMC7249188","","10.3390/s20092639"
"29060147","Facial geometry and speech analysis for depression detection","Pampouchidou A, Simantiraki O, Vazakopoulou CM, Chatzaki C, Pediaditis M, Maridaki A, Marias K, Simos P, Yang F, Meriaudeau F, Tsiknakis M.","Annu Int Conf IEEE Eng Med Biol Soc. 2017 Jul;2017:1433-1436. doi: 10.1109/EMBC.2017.8037103.","Pampouchidou A","Annu Int Conf IEEE Eng Med Biol Soc","2017","2017/10/25","","","10.1109/EMBC.2017.8037103"
"28737705","Emotion Recognition from Chinese Speech for Smart Affective Services Using a Combination of SVM and DBN","Zhu L, Chen L, Zhao D, Zhou J, Zhang W.","Sensors (Basel). 2017 Jul 24;17(7):1694. doi: 10.3390/s17071694.","Zhu L","Sensors (Basel)","2017","2017/07/25","PMC5539696","","10.3390/s17071694"
"31086110","Emotion Recognition from Multiband EEG Signals Using CapsNet","Chao H, Dong L, Liu Y, Lu B.","Sensors (Basel). 2019 May 13;19(9):2212. doi: 10.3390/s19092212.","Chao H","Sensors (Basel)","2019","2019/05/16","PMC6540345","","10.3390/s19092212"
"31581074","SEWA DB: A Rich Database for Audio-Visual Emotion and Sentiment Research in the Wild","Kossaifi J, Walecki R, Panagakis Y, Shen J, Schmitt M, Ringeval F, Han J, Pandit V, Toisoul A, Schuller B, Star K, Hajiyev E, Pantic M.","IEEE Trans Pattern Anal Mach Intell. 2021 Mar;43(3):1022-1040. doi: 10.1109/TPAMI.2019.2944808. Epub 2021 Feb 4.","Kossaifi J","IEEE Trans Pattern Anal Mach Intell","2021","2019/10/04","","","10.1109/TPAMI.2019.2944808"
"33444064","Impact of disguise on identification decisions and confidence with simultaneous and sequential lineups","Mansour JK, Beaudry JL, Bertrand MI, Kalmet N, Melsom EI, Lindsay RCL.","Law Hum Behav. 2020 Dec;44(6):502-515. doi: 10.1037/lhb0000427.","Mansour JK","Law Hum Behav","2020","2021/01/14","","","10.1037/lhb0000427"
"31046991","Emotion recognition from single-channel EEG signals using a two-stage correlation and instantaneous frequency-based filtering method","Taran S, Bajaj V.","Comput Methods Programs Biomed. 2019 May;173:157-165. doi: 10.1016/j.cmpb.2019.03.015. Epub 2019 Mar 22.","Taran S","Comput Methods Programs Biomed","2019","2019/05/04","","","10.1016/j.cmpb.2019.03.015"
"32316626","The uulmMAC Database-A Multimodal Affective Corpus for Affective Computing in Human-Computer Interaction","Hazer-Rau D, Meudt S, Daucher A, Spohrs J, Hoffmann H, Schwenker F, Traue HC.","Sensors (Basel). 2020 Apr 17;20(8):2308. doi: 10.3390/s20082308.","Hazer-Rau D","Sensors (Basel)","2020","2020/04/23","PMC7219061","","10.3390/s20082308"
"26346654","Pattern Recognition Methods and Features Selection for Speech Emotion Recognition System","Partila P, Voznak M, Tovarek J.","ScientificWorldJournal. 2015;2015:573068. doi: 10.1155/2015/573068. Epub 2015 Aug 4.","Partila P","ScientificWorldJournal","2015","2015/09/09","PMC4539500","","10.1155/2015/573068"
"31436455","Reading is disrupted by intelligible background speech: Evidence from eye-tracking","Vasilev MR, Liversedge SP, Rowan D, Kirkby JA, Angele B.","J Exp Psychol Hum Percept Perform. 2019 Nov;45(11):1484-1512. doi: 10.1037/xhp0000680. Epub 2019 Aug 22.","Vasilev MR","J Exp Psychol Hum Percept Perform","2019","2019/08/23","","","10.1037/xhp0000680"
"33156789","Joint Local and Global Information Learning With Single Apex Frame Detection for Micro-Expression Recognition","Li Y, Huang X, Zhao G.","IEEE Trans Image Process. 2021;30:249-263. doi: 10.1109/TIP.2020.3035042. Epub 2020 Nov 18.","Li Y","IEEE Trans Image Process","2021","2020/11/06","","","10.1109/TIP.2020.3035042"
"31416007","Computer-aided detection and visualization of pulmonary embolism using a novel, compact, and discriminative image representation","Tajbakhsh N, Shin JY, Gotway MB, Liang J.","Med Image Anal. 2019 Dec;58:101541. doi: 10.1016/j.media.2019.101541. Epub 2019 Aug 6.","Tajbakhsh N","Med Image Anal","2019","2019/08/16","PMC6815717","NIHMS1537127","10.1016/j.media.2019.101541"
"32881723","Contribution of Stimulus Variability to Word Recognition in Noise Versus Two-Talker Speech for School-Age Children and Adults","Buss E, Calandruccio L, Oleson J, Leibold LJ.","Ear Hear. 2020 Aug 31;42(2):313-322. doi: 10.1097/AUD.0000000000000951.","Buss E","Ear Hear","2020","2020/09/04","PMC7897187","NIHMS1616774","10.1097/AUD.0000000000000951"
"32575708","Spatio-Temporal Representation of an Electoencephalogram for Emotion Recognition Using a Three-Dimensional Convolutional Neural Network","Cho J, Hwang H.","Sensors (Basel). 2020 Jun 20;20(12):3491. doi: 10.3390/s20123491.","Cho J","Sensors (Basel)","2020","2020/06/25","PMC7349167","","10.3390/s20123491"
"31946651","Biosignal-Based Multimodal Emotion Recognition in a Valence-Arousal Affective Framework Applied to Immersive Video Visualization","Pinto J, Fred A, da Silva HP.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:3577-3583. doi: 10.1109/EMBC.2019.8857852.","Pinto J","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8857852"
"30223717","Development of the Youth Emotion Picture Set","Novello B, Renner A, Maurer G, Musse S, Arteche A.","Perception. 2018 Oct-Nov;47(10-11):1029-1042. doi: 10.1177/0301006618797226. Epub 2018 Sep 17.","Novello B","Perception","2018","2018/09/19","","","10.1177/0301006618797226"
"33017942","Emotion Recognition with Refined Labels for Deep Learning","Zhang S, Guan C.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:108-111. doi: 10.1109/EMBC44109.2020.9176111.","Zhang S","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","","","10.1109/EMBC44109.2020.9176111"
"33800348","On the Speech Properties and Feature Extraction Methods in Speech Emotion Recognition","Kacur J, Puterka B, Pavlovicova J, Oravec M.","Sensors (Basel). 2021 Mar 8;21(5):1888. doi: 10.3390/s21051888.","Kacur J","Sensors (Basel)","2021","2021/04/03","PMC7962835","","10.3390/s21051888"
"33519651","Classifying Alzheimer's Disease Using Audio and Text-Based Representations of Speech","Haulcy R, Glass J.","Front Psychol. 2021 Jan 15;11:624137. doi: 10.3389/fpsyg.2020.624137. eCollection 2020.","Haulcy R","Front Psychol","2021","2021/02/01","PMC7845557","","10.3389/fpsyg.2020.624137"
"32330178","A performance comparison of eight commercially available automatic classifiers for facial affect recognition","Dupré D, Krumhuber EG, Küster D, McKeown GJ.","PLoS One. 2020 Apr 24;15(4):e0231968. doi: 10.1371/journal.pone.0231968. eCollection 2020.","Dupré D","PLoS One","2020","2020/04/25","PMC7182192","","10.1371/journal.pone.0231968"
"32163933","Spatiotemporal dynamics of working memory under the influence of emotions based on EEG","Zhang Y, Liu B, Gao X.","J Neural Eng. 2020 Apr 29;17(2):026039. doi: 10.1088/1741-2552/ab7f50.","Zhang Y","J Neural Eng","2020","2020/03/13","","","10.1088/1741-2552/ab7f50"
"31485866","The Hoosier Vocal Emotions Corpus: A validated set of North American English pseudo-words for evaluating emotion processing","Darcy I, Fontaine NMG.","Behav Res Methods. 2020 Apr;52(2):901-917. doi: 10.3758/s13428-019-01288-0.","Darcy I","Behav Res Methods","2020","2019/09/06","","","10.3758/s13428-019-01288-0"
"32028212","Adaptive sparse learning using multi-template for neurodegenerative disease diagnosis","Lei B, Zhao Y, Huang Z, Hao X, Zhou F, Elazab A, Qin J, Lei H.","Med Image Anal. 2020 Apr;61:101632. doi: 10.1016/j.media.2019.101632. Epub 2020 Jan 8.","Lei B","Med Image Anal","2020","2020/02/07","","","10.1016/j.media.2019.101632"
"27258404","Chinese Herbal Medicine Image Recognition and Retrieval by Convolutional Neural Network","Sun X, Qian H.","PLoS One. 2016 Jun 3;11(6):e0156327. doi: 10.1371/journal.pone.0156327. eCollection 2016.","Sun X","PLoS One","2016","2016/06/04","PMC4892594","","10.1371/journal.pone.0156327"
"31112665","Measuring Mandarin Speech Recognition Thresholds Using the Method of Adaptive Tracking","Wang Y, Lu Z, Yang X, Liu C.","J Speech Lang Hear Res. 2019 Jun 19;62(6):2009-2017. doi: 10.1044/2019_JSLHR-H-18-0162. Epub 2019 May 20.","Wang Y","J Speech Lang Hear Res","2019","2019/05/22","","","10.1044/2019_JSLHR-H-18-0162"
"30445798","EmoTour: Estimating Emotion and Satisfaction of Users Based on Behavioral Cues and Audiovisual Data","Matsuda Y, Fedotov D, Takahashi Y, Arakawa Y, Yasumoto K, Minker W.","Sensors (Basel). 2018 Nov 15;18(11):3978. doi: 10.3390/s18113978.","Matsuda Y","Sensors (Basel)","2018","2018/11/18","PMC6263657","","10.3390/s18113978"
"23750144","On the Acoustics of Emotion in Audio: What Speech, Music, and Sound have in Common","Weninger F, Eyben F, Schuller BW, Mortillaro M, Scherer KR.","Front Psychol. 2013 May 27;4:292. doi: 10.3389/fpsyg.2013.00292. eCollection 2013.","Weninger F","Front Psychol","2013","2013/06/11","PMC3664314","","10.3389/fpsyg.2013.00292"
"32149924","Perception of Child-Directed Versus Adult-Directed Emotional Speech in Pediatric Cochlear Implant Users","Barrett KC, Chatterjee M, Caldwell MT, Deroche MLD, Jiradejvong P, Kulkarni AM, Limb CJ.","Ear Hear. 2020 Sep/Oct;41(5):1372-1382. doi: 10.1097/AUD.0000000000000862.","Barrett KC","Ear Hear","2020","2020/03/10","PMC8323060","NIHMS1718579","10.1097/AUD.0000000000000862"
"31978933","Detection of acute 3,4-methylenedioxymethamphetamine (MDMA) effects across protocols using automated natural language processing","Agurto C, Cecchi GA, Norel R, Ostrand R, Kirkpatrick M, Baggott MJ, Wardle MC, Wit H, Bedi G.","Neuropsychopharmacology. 2020 Apr;45(5):823-832. doi: 10.1038/s41386-020-0620-4. Epub 2020 Jan 24.","Agurto C","Neuropsychopharmacology","2020","2020/01/25","PMC7075895","","10.1038/s41386-020-0620-4"
"31021115","Cross-modal information transfer and the effect of concurrent task-load","Bahrami Balani A.","J Exp Psychol Learn Mem Cogn. 2020 Jan;46(1):104-116. doi: 10.1037/xlm0000715. Epub 2019 Apr 25.","Bahrami Balani A","J Exp Psychol Learn Mem Cogn","2020","2019/04/26","","","10.1037/xlm0000715"
"28368836","DREAMER: A Database for Emotion Recognition Through EEG and ECG Signals From Wireless Low-cost Off-the-Shelf Devices","Katsigiannis S, Ramzan N.","IEEE J Biomed Health Inform. 2018 Jan;22(1):98-107. doi: 10.1109/JBHI.2017.2688239. Epub 2017 Mar 27.","Katsigiannis S","IEEE J Biomed Health Inform","2018","2017/04/04","","","10.1109/JBHI.2017.2688239"
"32484789","p53 plays a central role in the development of osteoporosis","Yu T, You X, Zhou H, Kang A, He W, Li Z, Li B, Xia J, Zhu H, Zhao Y, Yu G, Xiong Y, Yang Y.","Aging (Albany NY). 2020 Jun 2;12(11):10473-10487. doi: 10.18632/aging.103271. Epub 2020 Jun 2.","Yu T","Aging (Albany NY)","2020","2020/06/03","PMC7346075","","10.18632/aging.103271"
"28358556","Measuring emotional and cognitive empathy using dynamic, naturalistic, and spontaneous emotion displays","Buck R, Powers SR, Hull KS.","Emotion. 2017 Oct;17(7):1120-1136. doi: 10.1037/emo0000285. Epub 2017 Mar 30.","Buck R","Emotion","2017","2017/03/31","","","10.1037/emo0000285"
"29016168","Voice-only communication enhances empathic accuracy","Kraus MW.","Am Psychol. 2017 Oct;72(7):644-654. doi: 10.1037/amp0000147.","Kraus MW","Am Psychol","2017","2017/10/11","","","10.1037/amp0000147"
"31671320","IDRiD: Diabetic Retinopathy - Segmentation and Grading Challenge","Porwal P, Pachade S, Kokare M, Deshmukh G, Son J, Bae W, Liu L, Wang J, Liu X, Gao L, Wu T, Xiao J, Wang F, Yin B, Wang Y, Danala G, He L, Choi YH, Lee YC, Jung SH, Li Z, Sui X, Wu J, Li X, Zhou T, Toth J, Baran A, Kori A, Chennamsetty SS, Safwan M, Alex V, Lyu X, Cheng L, Chu Q, Li P, Ji X, Zhang S, Shen Y, Dai L, Saha O, Sathish R, Melo T, Araújo T, Harangi B, Sheng B, Fang R, Sheet D, Hajdu A, Zheng Y, Mendonça AM, Zhang S, Campilho A, Zheng B, Shen D, Giancardo L, Quellec G, Mériaudeau F.","Med Image Anal. 2020 Jan;59:101561. doi: 10.1016/j.media.2019.101561. Epub 2019 Oct 3.","Porwal P","Med Image Anal","2020","2019/11/01","","","10.1016/j.media.2019.101561"
"31682143","Investigating appraisal-driven facial expression and inference in emotion communication","Scherer KR, Dieckmann A, Unfried M, Ellgring H, Mortillaro M.","Emotion. 2021 Feb;21(1):73-95. doi: 10.1037/emo0000693. Epub 2019 Nov 4.","Scherer KR","Emotion","2021","2019/11/05","","","10.1037/emo0000693"
"22908677","Detection of affective states from text and speech for real-time human--computer interaction","Calix RA, Javadpour L, Knapp GM.","Hum Factors. 2012 Aug;54(4):530-45. doi: 10.1177/0018720811425922.","Calix RA","Hum Factors","2012","2012/08/23","","","10.1177/0018720811425922"
"30886503","Quest for the best endoscopic imaging modality for computer-assisted colonic polyp staging","Wimmer G, Gadermayr M, Wolkersdörfer G, Kwitt R, Tamaki T, Tischendorf J, Häfner M, Yoshida S, Tanaka S, Merhof D, Uhl A.","World J Gastroenterol. 2019 Mar 14;25(10):1197-1209. doi: 10.3748/wjg.v25.i10.1197.","Wimmer G","World J Gastroenterol","2019","2019/03/20","PMC6421240","","10.3748/wjg.v25.i10.1197"
